season,player_id,player_name,player_url,age,team,position,games,games_started,minutes,win_shares,ws_per_48,bpm,vorp
2022-23,bridgmi01,Mikal Bridges,https://www.basketball-reference.com/players/b/bridgmi01.html,26,BRK,SG,27,27,923,2.5,0.133,3.3,1.2
2022-23,edwaran01,Anthony Edwards,https://www.basketball-reference.com/players/e/edwaran01.html,21,MIN,SG,79,79,2842,3.8,0.064,1.0,2.1
2022-23,lavinza01,Zach LaVine,https://www.basketball-reference.com/players/l/lavinza01.html,27,CHI,SG,77,77,2768,7.1,0.123,1.9,2.7
2022-23,vucevni01,Nikola Vučević,https://www.basketball-reference.com/players/v/vucevni01.html,32,CHI,C,82,82,2746,8.3,0.145,2.7,3.2
2022-23,randlju01,Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html,28,NYK,PF,77,77,2737,8.1,0.142,3.7,3.9
2022-23,sabondo01,Domantas Sabonis,https://www.basketball-reference.com/players/s/sabondo01.html,26,SAC,C,79,79,2736,12.6,0.221,5.8,5.4
2022-23,tatumja01,Jayson Tatum,https://www.basketball-reference.com/players/t/tatumja01.html,24,BOS,SF,74,74,2732,10.5,0.185,5.5,5.1
2022-23,dinwisp01,Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html,29,2TM,SG,79,79,2725,6.3,0.111,0.7,1.8
2022-23,dinwisp01,Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html,29,DAL,SG,53,53,1808,4.3,0.114,0.9,1.3
2022-23,dinwisp01,Spencer Dinwiddie,https://www.basketball-reference.com/players/d/dinwisp01.html,29,BRK,PG,26,26,917,2.0,0.103,0.2,0.5
2022-23,mobleev01,Evan Mobley,https://www.basketball-reference.com/players/m/mobleev01.html,21,CLE,PF,79,79,2715,8.5,0.151,1.7,2.5
2022-23,murrade01,Dejounte Murray,https://www.basketball-reference.com/players/m/murrade01.html,26,ATL,SG,74,74,2693,4.7,0.084,1.0,2.1
2022-23,derozde01,DeMar DeRozan,https://www.basketball-reference.com/players/d/derozde01.html,33,CHI,SF,74,74,2682,8.5,0.153,2.0,2.6
2022-23,barnesc01,Scottie Barnes,https://www.basketball-reference.com/players/b/barnesc01.html,21,TOR,SF,77,76,2678,5.0,0.09,0.4,1.6
2022-23,barneha02,Harrison Barnes,https://www.basketball-reference.com/players/b/barneha02.html,30,SAC,PF,82,82,2662,6.5,0.118,-1.0,0.7
2022-23,siakapa01,Pascal Siakam,https://www.basketball-reference.com/players/s/siakapa01.html,28,TOR,PF,71,71,2652,7.8,0.141,3.1,3.4
2022-23,mccolcj01,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html,31,NOP,PG,75,75,2649,4.3,0.078,0.8,1.9
2022-23,wagnefr01,Franz Wagner,https://www.basketball-reference.com/players/w/wagnefr01.html,21,ORL,SF,80,80,2609,5.4,0.099,-0.1,1.3
2022-23,greenja05,Jalen Green,https://www.basketball-reference.com/players/g/greenja05.html,20,HOU,SG,76,76,2602,1.8,0.034,-2.1,0.0
2022-23,adebaba01,Bam Adebayo,https://www.basketball-reference.com/players/a/adebaba01.html,25,MIA,C,75,75,2598,7.4,0.137,1.5,2.3
2022-23,youngtr01,Trae Young,https://www.basketball-reference.com/players/y/youngtr01.html,24,ATL,PG,73,73,2541,6.7,0.126,3.3,3.4
2022-23,vanvlfr01,Fred VanVleet,https://www.basketball-reference.com/players/v/vanvlfr01.html,28,TOR,PG,69,69,2535,6.5,0.123,2.5,2.9
2022-23,hieldbu01,Buddy Hield,https://www.basketball-reference.com/players/h/hieldbu01.html,30,IND,SF,80,73,2482,4.4,0.085,1.9,2.4
2022-23,barrerj01,RJ Barrett,https://www.basketball-reference.com/players/b/barrerj01.html,22,NYK,SG,73,73,2475,2.2,0.043,-3.1,-0.7
2022-23,poolejo01,Jordan Poole,https://www.basketball-reference.com/players/p/poolejo01.html,23,GSW,PG,82,43,2458,3.2,0.063,-1.9,0.1
2022-23,hartjo01,Josh Hart,https://www.basketball-reference.com/players/h/hartjo01.html,27,2TM,SF,76,52,2454,6.0,0.118,0.9,1.8
2022-23,hartjo01,Josh Hart,https://www.basketball-reference.com/players/h/hartjo01.html,27,POR,SF,51,51,1704,3.2,0.091,-0.2,0.8
2022-23,hartjo01,Josh Hart,https://www.basketball-reference.com/players/h/hartjo01.html,27,NYK,SF,25,1,750,2.8,0.179,3.4,1.0
2022-23,smithja05,Jabari Smith Jr.,https://www.basketball-reference.com/players/s/smithja05.html,19,HOU,PF,79,79,2451,1.9,0.037,-3.7,-1.1
2022-23,murphtr02,Trey Murphy III,https://www.basketball-reference.com/players/m/murphtr02.html,22,NOP,SF,79,65,2448,7.6,0.15,1.8,2.3
2022-23,garlada01,Darius Garland,https://www.basketball-reference.com/players/g/garlada01.html,23,CLE,PG,69,69,2447,7.6,0.148,2.4,2.7
2022-23,harrito02,Tobias Harris,https://www.basketball-reference.com/players/h/harrito02.html,30,PHI,SF,74,74,2436,5.9,0.116,0.7,1.7
2022-23,foxde01,De'Aaron Fox,https://www.basketball-reference.com/players/f/foxde01.html,25,SAC,PG,73,73,2435,7.4,0.146,2.5,2.7
2022-23,mitchdo01,Donovan Mitchell,https://www.basketball-reference.com/players/m/mitchdo01.html,26,CLE,SG,68,68,2432,8.9,0.176,6.3,5.0
2022-23,banchpa01,Paolo Banchero,https://www.basketball-reference.com/players/b/banchpa01.html,20,ORL,PF,72,72,2430,2.4,0.047,-1.5,0.3
2022-23,mcdanja02,Jaden McDaniels,https://www.basketball-reference.com/players/m/mcdanja02.html,22,MIN,SF,79,79,2416,4.4,0.087,-1.2,0.5
2022-23,gilgesh01,Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html,24,OKC,PG,68,68,2416,11.4,0.226,7.3,5.6
2022-23,onealro01,Royce O'Neale,https://www.basketball-reference.com/players/o/onealro01.html,29,BRK,SF,76,53,2409,2.9,0.057,-1.1,0.5
2022-23,brownja02,Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html,26,BOS,SF,67,67,2405,5.0,0.1,1.3,2.0
2022-23,doncilu01,Luka Dončić,https://www.basketball-reference.com/players/d/doncilu01.html,23,DAL,PG,66,66,2391,10.2,0.204,8.9,6.6
2022-23,anunoog01,OG Anunoby,https://www.basketball-reference.com/players/a/anunoog01.html,25,TOR,SF,67,67,2386,4.7,0.094,0.4,1.5
2022-23,murrake02,Keegan Murray,https://www.basketball-reference.com/players/m/murrake02.html,22,SAC,SF,80,78,2382,4.3,0.087,-0.6,0.8
2022-23,caldwke01,Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html,29,DEN,SG,76,76,2381,4.5,0.091,-1.0,0.6
2022-23,washipj01,P.J. Washington,https://www.basketball-reference.com/players/w/washipj01.html,24,CHO,PF,73,73,2380,2.6,0.052,-1.3,0.4
2022-23,brunsja01,Jalen Brunson,https://www.basketball-reference.com/players/b/brunsja01.html,26,NYK,PG,68,68,2379,8.7,0.175,3.9,3.5
2022-23,lopezbr01,Brook Lopez,https://www.basketball-reference.com/players/l/lopezbr01.html,34,MIL,C,78,78,2373,8.0,0.161,2.1,2.5
2022-23,giddejo01,Josh Giddey,https://www.basketball-reference.com/players/g/giddejo01.html,20,OKC,PF,76,76,2367,4.0,0.081,1.2,1.9
2022-23,bullore01,Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html,31,DAL,SF,78,55,2364,2.8,0.056,-2.6,-0.4
2022-23,quickim01,Immanuel Quickley,https://www.basketball-reference.com/players/q/quickim01.html,23,NYK,SG,81,21,2344,6.7,0.137,1.7,2.1
2022-23,herroty01,Tyler Herro,https://www.basketball-reference.com/players/h/herroty01.html,23,MIA,SG,67,67,2337,3.5,0.072,0.6,1.6
2022-23,willipa01,Patrick Williams,https://www.basketball-reference.com/players/w/willipa01.html,21,CHI,PF,82,65,2323,3.5,0.072,-1.3,0.4
